# High noise model (acceleration)	
# Period (s)	PSD (dB)
0.1	-91.5
0.22	-97.4050258062
0.32	-110.4979299825
0.8	-120.0005445229
3.8	-97.9975125732
4.6	-96.4978705539
6.3	-101.0001310795
7.9	-113.4947993867
15.4	-120.0021270819
20	-138.4966897434
354.8	-126.004018379
100000	-48.51
# The noise profile is piecewise-linear in log10(period) – dB space	
