# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	I29M	00	VHZ	2015-10-20 00:00:00	2599-12-31 23:59:59	65.3609	-138.3063	602	2
TA	J14K	00	VHZ	2017-05-30 00:00:00	2599-12-31 23:59:59	62.7492	-163.554	25	2
TA	J16K	00	VHZ	2017-06-18 00:00:00	2599-12-31 23:59:59	63.2842	-160.6021	328	2
TA	J17K	00	VHZ	2017-06-18 00:00:00	2599-12-31 23:59:59	63.3965	-159.0777	323	2
TA	J18K	00	VHZ	2017-06-02 00:00:00	2599-12-31 23:59:59	63.465	-156.7154	506	2
TA	J19K	00	VHZ	2017-06-03 00:00:00	2599-12-31 23:59:59	63.994	-155.6214	389	2
TA	J20K	00	VHZ	2015-07-01 00:00:00	2599-12-31 23:59:59	64.1767	-154.1467	314	2
TA	J25K	00	VHZ	2015-08-24 00:00:00	2599-12-31 23:59:59	64.613	-145.3697	949	2
TA	J26L	00	VHZ	2015-09-11 00:00:00	2599-12-31 23:59:59	64.5012	-143.5636	1144	2
TA	J29M	00	VHZ	2015-10-21 00:00:00	2599-12-31 23:59:59	64.453	-138.2158	982	2
TA	K13K	00	VHZ	2017-05-31 00:00:00	2599-12-31 23:59:59	61.9331	-164.6555	204.2	2
TA	K15K	00	VHZ	2017-05-29 00:00:00	2599-12-31 23:59:59	62.2938	-161.5308	346	2
TA	K17K	00	VHZ	2017-06-03 00:00:00	2599-12-31 23:59:59	62.7161	-158.3014	339	2
TA	K20K	00	VHZ	2015-06-30 00:00:00	2599-12-31 23:59:59	63.3569	-154.07	548	2
TA	K22A	00	VHZ	2012-10-27 19:55:00	2599-12-31 23:59:59	42.6507	-106.524	1686	0
TA	K24K	00	VHZ	2016-04-13 00:00:00	2599-12-31 23:59:59	63.8036	-145.7784	724	2
TA	K27K	00	VHZ	2016-02-10 20:30:00	2599-12-31 23:59:59	64.0292	-142.0758	732	2.5
TA	K29M	00	VHZ	2016-08-21 00:00:00	2599-12-31 23:59:59	63.8433	-137.5201	1367	2
TA	KMSC	00	VHZ	2008-10-13 00:00:00	2599-12-31 23:59:59	35.142	-81.3333	240	0
TA	KSCO	00	VHZ	2008-12-03 00:00:00	2599-12-31 23:59:59	39.0112	-102.6273	1382	0
TA	L14K	00	VHZ	2017-05-27 00:00:00	2599-12-31 23:59:59	61.3416	-162.6829	41	2
TA	L15K	00	VHZ	2017-05-28 00:00:00	2599-12-31 23:59:59	61.678	-161.4869	219	2
TA	L16K	00	VHZ	2017-05-14 00:00:00	2599-12-31 23:59:59	61.7105	-159.4747	227	2
TA	L17K	00	VHZ	2017-05-14 00:00:00	2599-12-31 23:59:59	62.1344	-158.2972	338	2
TA	L18K	00	VHZ	2017-05-10 00:00:00	2599-12-31 23:59:59	62.2195	-156.6886	329	2
TA	L19K	00	VHZ	2015-06-20 00:00:00	2599-12-31 23:59:59	62.1816	-154.8543	650	2
TA	L20K	00	VHZ	2015-08-17 00:00:00	2599-12-31 23:59:59	62.4787	-153.8798	673	1
TA	L26K	00	VHZ	2014-07-23 00:00:00	2599-12-31 23:59:59	63.0254	-143.3478	650	4.5
TA	L27K	00	VHZ	2014-07-25 00:00:00	2599-12-31 23:59:59	63.0618	-141.8275	755	2
