# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	M13K	EP	LDV	2017-05-23 00:00:00	2599-12-31 23:59:59	60.4135	-163.35	9	0
TA	M15K	EP	LDV	2017-05-21 00:00:00	2599-12-31 23:59:59	60.6947	-160.6884	210	0
TA	M16K	EP	LDV	2017-05-12 00:00:00	2599-12-31 23:59:59	61.0224	-158.9593	394	0
TA	M17K	EP	LDV	2017-05-08 00:00:00	2599-12-31 23:59:59	61.4009	-157.4375	387	0
TA	M18K	EP	LDV	2017-05-09 00:00:00	2599-12-31 23:59:59	61.4907	-155.8242	289	0
TA	M26K	EP	LDV	2017-03-14 21:00:00	2599-12-31 23:59:59	62.4013	-142.9963	888	0
TA	M27K	EP	LDV	2016-07-29 23:00:00	2599-12-31 23:59:59	62.3579	-141.878	1536	0
TA	M29M	EP	LDV	2016-07-26 00:00:00	2599-12-31 23:59:59	62.4435	-138.4624	1297	0
TA	N14K	EP	LDV	2017-05-19 00:00:00	2599-12-31 23:59:59	59.9237	-161.6852	21	0
TA	N15K	EP	LDV	2017-05-20 00:00:00	2599-12-31 23:59:59	60.1686	-160.0921	449	0
TA	N17K	EP	LDV	2017-05-13 00:00:00	2599-12-31 23:59:59	60.5269	-157.1867	350	0
TA	N18K	EP	LDV	2017-03-21 20:00:00	2599-12-31 23:59:59	60.6801	-155.8897	572	0
TA	N30M	EP	LDV	2016-08-24 00:00:00	2599-12-31 23:59:59	61.4593	-137.0885	941	0
TA	O14K	EP	LDV	2017-05-17 00:00:00	2599-12-31 23:59:59	59.2533	-161.2638	129	0
TA	O19K	EP	LDV	2015-06-09 00:00:00	2599-12-31 23:59:59	60.1952	-154.3201	96	0
TA	O28M	EP	LDV	2016-07-16 00:00:00	2599-12-31 23:59:59	60.7718	-140.1906	2622	0
TA	O29M	EP	LDV	2016-07-15 00:00:00	2599-12-31 23:59:59	60.3024	-138.5755	1423	0
TA	P17K	EP	LDV	2016-05-31 00:00:00	2599-12-31 23:59:59	59.1953	-156.4394	91	0
TA	P29M	EP	LDV	2016-07-15 00:00:00	2599-12-31 23:59:59	59.6304	-137.7381	679	0
TA	Q32M	EP	LDV	2016-07-24 00:00:00	2599-12-31 23:59:59	58.9601	-132.2691	1951	0
TA	R17K	EP	LDV	2016-12-02 17:00:00	2599-12-31 23:59:59	57.6397	-156.3872	273	0
TA	R18K	EP	LDV	2017-04-26 00:00:00	2599-12-31 23:59:59	57.5665	-154.4524	39	0
TA	R31K	EP	LDV	2016-08-23 00:00:00	2599-12-31 23:59:59	58.4133	-135.7398	15	0
TA	R32K	EP	LDV	2016-08-21 00:00:00	2599-12-31 23:59:59	58.2747	-134.5181	386	0
TA	R33M	EP	LDV	2016-07-21 00:00:00	2599-12-31 23:59:59	59.3946	-130.9673	1437	0
TA	S31K	EP	LDV	2016-09-21 00:00:00	2599-12-31 23:59:59	57.9616	-136.232	34	0
TA	T33K	EP	LDV	2016-08-16 00:00:00	2599-12-31 23:59:59	56.8144	-132.9524	22	0
TA	TOLK	EP	LDV	2012-02-22 00:00:00	2599-12-31 23:59:59	68.6408	-149.5724	760	0
TA	U33K	EP	LDV	2016-08-20 00:00:00	2599-12-31 23:59:59	56.1146	-133.121	11	0
TA	V35K	EP	LDV	2016-08-18 00:00:00	2599-12-31 23:59:59	55.3279	-131.615	64	0
TA	Y22D	EP	LDV	2011-03-18 18:00:00	2599-12-31 23:59:59	34.0739	-106.921	1436	0
